ID, Nacionalidad, Tipo sonido, Cantidad jugadores, Capacidad fichas, Salon, Juego 
502,awdwada,1,13,13,awdawdawd,awdawd
10,Indonesia,1,2,320,Salon 2021,Virtua Cop
18,Sweden,1,2,380,Salon 2021,Virtua Cop
19,Ethiopia,1,2,105,Salon 6,Virtua Cop
24,Sri Lanka,1,5,333,Salon 1,Virtua Cop
45,Indonesia,1,3,315,Salon 6,Virtua Cop
54,Greece,1,2,454,Salon 2021,Virtua Cop
64,Japan,1,3,260,Salon 2,Virtua Cop
82,New Zealand,1,4,206,Salon 6,Virtua Cop
101,Estonia,1,4,215,Salon 3,Virtua Cop
111,Russia,1,3,429,Salon Carreras,Virtua Cop
122,Portugal,1,3,106,Salon 1,Virtua Cop
129,Peru,1,2,422,Salon 3,Virtua Cop
190,Philippines,1,3,375,Salon 4,Virtua Cop
216,Indonesia,1,2,116,Salon Retro,Virtua Cop
236,Bulgaria,1,4,471,Salon VR,Virtua Cop
253,China,1,5,330,Salon 1,Virtua Cop
282,Malaysia,1,4,421,Salon 1,Virtua Cop
307,Sweden,1,2,379,Salon 3,Virtua Cop
314,Indonesia,1,2,145,Salon 4,Virtua Cop
357,Comoros,1,2,348,Salon Carreras,Virtua Cop
358,Costa Rica,1,4,483,Salon Carreras,Virtua Cop
373,Russia,1,2,297,Salon 2,Virtua Cop
394,Brazil,1,5,195,Salon 6,Virtua Cop
407,Poland,1,2,215,Salon VR,Virtua Cop
486,Netherlands,1,2,163,Salon 2021,Virtua Cop
13,Philippines,1,5,124,Salon Retro,Tron
31,Kazakhstan,1,3,309,Salon 3,Tron
61,Ireland,1,3,197,Salon 1,Tron
69,Russia,1,5,113,Salon 1,Tron
104,Portugal,1,3,301,Salon 3,Tron
117,Japan,1,5,487,Salon Carreras,Tron
133,Ukraine,1,2,411,Salon 2021,Tron
148,Japan,1,2,169,Salon 2021,Tron
185,Brazil,1,3,276,Salon 2,Tron
210,Mongolia,1,5,360,Salon VR,Tron
213,United States,1,2,349,Salon 1,Tron
243,Indonesia,1,2,351,Salon Retro,Tron
273,China,1,5,171,Salon 1,Tron
294,Indonesia,1,4,463,Salon Carreras,Tron
324,Namibia,1,4,208,Salon 2,Tron
344,Dominican Republic,1,3,436,Salon 2,Tron
